x,y,color
4,176,3
6,176,3
7,177,3
9,178,3
12,179,3
15,180,3
17,181,3
20,182,3
23,183,3
25,184,3
26,184,3
27,184,3
28,184,3
31,184,3
32,184,3
33,184,3
34,184,3
35,184,3
35,183,3
35,182,3
36,182,3
38,182,3
39,182,3
41,182,3
43,182,3
46,182,3
48,182,3
49,182,3
50,182,3
51,182,3
52,182,3
54,183,3
57,184,3
60,186,3
61,186,3
63,187,3
65,188,3
66,188,3
67,188,3
68,188,3
71,188,3
73,188,3
74,188,3
76,188,3
79,188,3
82,186,3
83,185,3
85,183,3
87,182,3
88,182,3
89,182,3
90,182,3
91,182,3
93,182,3
94,182,3
95,182,3
96,182,3
97,182,3
100,183,3
102,183,3
102,185,3
104,186,3
105,186,3
106,186,3
107,186,3
108,186,3
109,186,3
111,186,3
112,186,3
114,186,3
116,186,3
118,186,3
121,186,3
123,186,3
126,186,3
128,186,3
129,186,3
130,186,3
131,186,3
132,186,3
135,186,3
137,186,3
138,186,3
140,186,3
141,186,3
142,186,3
143,186,3
146,186,3
149,186,3
153,186,3
156,185,3
160,184,3
163,184,3
165,184,3
166,184,3
166,183,3
166,182,3
167,182,3
168,182,3
170,182,3
174,182,3
177,182,3
181,182,3
186,182,3
190,182,3
194,183,3
198,183,3
200,183,3
202,183,3
203,183,3
204,183,3
205,183,3
206,183,3
208,183,3
209,183,3
212,183,3
216,183,3
218,183,3
220,183,3
222,183,3
223,183,3
224,183,3
225,183,3
226,183,3
229,183,3
231,183,3
233,183,3
234,183,3
236,183,3
237,183,3
239,183,3
243,183,3
249,183,3
256,183,3
261,183,3
266,183,3
270,183,3
273,183,3
275,183,3
276,183,3
10,213,3
16,213,3
29,213,3
52,213,3
84,215,3
118,217,3
156,217,3
197,219,3
239,221,3
276,221,3
313,221,3
341,221,3
361,221,3
375,221,3
382,221,3
385,221,3
387,221,3
388,221,3
22,203,3
30,203,3
45,203,3
70,203,3
114,203,3
161,203,3
216,204,3
271,206,3
312,208,3
344,210,3
362,210,3
372,210,3
376,210,3
375,210,3
366,210,3
349,210,3
329,210,3
309,210,3
290,210,3
277,210,3
267,210,3
262,210,3
260,210,3
258,210,3
255,211,3
248,212,3
233,214,3
205,215,3
154,215,3
103,215,3
49,215,3
4,215,3
-24,215,3
-39,213,3
-46,213,3
-47,213,3
-45,213,3
-36,213,3
-14,213,3
28,214,3
70,219,3
108,221,3
136,222,3
154,224,3
166,224,3
171,224,3
174,224,3
177,224,3
183,224,3
196,224,3
217,224,3
235,224,3
253,225,3
268,226,3
275,226,3
279,226,3
280,226,3
279,226,3
271,226,3
253,226,3
215,226,3
158,226,3
90,226,3
18,225,3
-46,223,3
-98,220,3
-123,219,3
-133,219,3
-135,219,3
-135,218,3
-135,217,3
-131,216,3
-118,215,3
-95,215,3
-61,215,3
-16,216,3
36,221,3
88,225,3
136,230,3
175,234,3
204,237,3
219,240,3
226,241,3
229,241,3
230,241,3
230,242,3
227,243,3
221,243,3
208,243,3
185,243,3
148,243,3
100,243,3
45,241,3
-3,237,3
-31,235,3
-45,234,3
-50,233,3
-44,233,3
-23,233,3
26,238,3
88,245,3
157,252,3
222,257,3
274,262,3
310,266,3
326,268,3
335,270,3
336,270,3
334,270,3
328,271,3
309,272,3
282,272,3
244,272,3
196,271,3
147,264,3
97,255,3
55,249,3
29,245,3
17,243,3
13,242,3
16,242,3
25,242,3
43,242,3
64,245,3
86,247,3
107,248,3
126,251,3
141,253,3
148,254,3
151,255,3
152,255,3
148,256,3
134,257,3
112,257,3
81,257,3
43,257,3
2,256,3
-30,252,3
-49,249,3
-60,248,3
-61,248,3
-54,248,3
-36,248,3
-8,248,3
32,248,3
74,249,3
109,253,3
141,257,3
160,258,3
170,258,3
175,258,3
177,258,3
177,259,3
173,260,3
165,260,3
150,260,3
130,260,3
103,260,3
65,260,3
24,259,3
-12,255,3
-37,251,3
-51,250,3
-56,250,3
-59,250,3
-56,250,3
-44,250,3
-16,251,3
33,255,3
91,260,3
157,267,3
223,274,3
274,279,3
307,283,3
320,285,3
326,287,3
327,288,3
325,290,3
319,292,3
303,293,3
280,295,3
246,295,3
209,295,3
171,295,3
133,294,3
104,290,3
89,289,3
82,288,3
80,288,3
84,288,3
97,288,3
122,288,3
160,288,3
200,288,3
245,289,3
287,291,3
318,293,3
336,294,3
345,295,3
348,295,3
348,296,3
341,297,3
326,297,3
304,297,3
263,297,3
202,297,3
130,293,3
54,283,3
-22,273,3
-84,266,3
-123,262,3
-140,259,3
-143,258,3
-141,258,3
-132,257,3
-109,255,3
-64,255,3
-10,255,3
47,255,3
108,255,3
162,255,3
207,255,3
234,255,3
249,255,3
256,255,3
257,255,3
259,254,3
257,254,3
248,253,3
233,251,3
216,250,3
197,247,3
177,242,3
164,240,3
154,238,3
150,237,3
149,237,3
154,237,3
171,236,3
196,236,3
234,236,3
274,236,3
309,237,3
336,237,3
350,238,3
355,239,3
357,239,3
352,240,3
333,242,3
298,242,3
244,242,3
176,242,3
98,238,3
18,227,3
-64,217,3
-134,207,3
-180,201,3
-202,197,3
-212,195,3
-214,194,3
-211,193,3
-199,192,3
-177,192,3
-132,192,3
-85,192,3
-30,193,3
25,198,3
67,202,3
99,206,3
116,207,3
124,208,3
127,209,3
128,209,3
127,210,3
124,211,3
120,211,3
113,211,3
105,211,3
97,211,3
92,211,3
88,211,3
85,211,3
84,211,3
84,210,3
91,210,3
109,210,3
139,210,3
184,212,3
236,216,3
288,221,3
336,223,3
374,225,3
399,226,3
414,226,3
420,226,3
422,226,3
420,226,3
411,226,3
395,226,3
370,226,3
332,226,3
287,225,3
232,218,3
173,211,3
117,204,3
64,197,3
25,191,3
6,188,3
-2,188,3
-6,188,3
-5,188,3
2,188,3
18,189,3
42,190,3
73,192,3
112,196,3
147,200,3
176,204,3
199,207,3
210,210,3
214,210,3
215,210,3
212,210,3
203,212,3
186,213,3
164,213,3
133,213,3
91,212,3
49,208,3
11,204,3
-15,200,3
-27,199,3
-32,199,3
-30,199,3
-19,199,3
9,199,3
51,202,3
107,212,3
163,218,3
216,228,3
263,237,3
289,242,3
303,246,3
308,248,3
308,250,3
306,252,3
297,254,3
281,257,3
257,258,3
219,260,3
174,262,3
127,262,3
86,262,3
59,262,3
46,262,3
37,262,3
36,262,3
38,262,3
46,262,3
72,264,3
117,268,3
162,273,3
211,277,3
257,284,3
290,289,3
309,292,3
321,294,3
322,294,3
321,295,3
313,296,3
298,296,3
275,296,3
234,296,3
186,295,3
130,288,3
74,278,3
32,272,3
8,267,3
-4,263,3
-9,262,3
-6,262,3
7,262,3
32,262,3
71,266,3
123,271,3
175,275,3
220,280,3
260,286,3
283,291,3
295,292,3
300,292,3
300,293,3
300,294,3
299,294,3
292,297,3
282,299,3
268,302,3
250,303,3
225,303,3
187,303,3
146,303,3
105,302,3
73,299,3
56,296,3
46,293,3
43,292,3
47,292,3
60,292,3
83,292,3
127,292,3
178,292,3
232,292,3
287,293,3
